Họ và tên,E-mail Address,Company Name,Job Title,Nganh,Size,Phone Number
Đặng Hữu Bình,dang.huu.binh.1251@topcv.vn,TopCV,CTO,manufacturing,500,0960329546
Võ Văn Trang,vo.van.trang.1252@vinmec.vn,Vinmec,CEO,education,500,0935349278
Hoàng Thanh Trang,hoang.thanh.trang.1253@duytanplasti.vn,Duy Tan Plastics,CEO,retail,50,0933235208
Dương Thanh Oanh,duong.thanh.oanh.1254@gmail.com,Thaco Industries,Procurement Manager,fintech,10,0907705356
Dương Đức Quân,duong.duc.quan.1255@hoaphat.vn,Hoà Phát,Operations Manager,ecommerce,25,0354433226
Đỗ Hồng Bình,do.hong.binh.1256@thacoindustr.vn,Thaco Industries,Sales Director,healthcare,25,0704798677
Bùi Thị Hà,bui.thi.ha.1257@tiki.vn,Tiki,Operations Manager,healthcare,120,0904675382
Đỗ Hồng Tuấn,do.hong.tuan.1258@gmail.com,Base.vn,Kế toán trưởng,education,1500,0972475849
Lê Thanh Phúc,le.thanh.phuc.1259@gmail.com,Gemadept Logistics,CFO,ecommerce,500,0972104135
Phạm Văn Quân,khong-phai-email,The Coffee House,Operations Manager,ecommerce,120,0905844447
Hồ Quang Oanh,,Pharmacity,CEO,healthcare,250,0869085056
Đỗ Hồng Quân,do.hong.quan.1262@hoaphat.vn,Hoà Phát,Product Manager,education,1500,123
,bui.hong.giang.1263@tiki.vn,Tiki,Procurement Manager,ecommerce,10,0703203707
"=HYPERLINK(""https://evil.example"",""Click"")",hoang.thanh.son.1264@gmail.com,Base.vn,Operations Manager,ecommerce,1500,0963294955
Đặng Đức Nam,dang.duc.nam.1265@momo.vn,MoMo,CTO,ecommerce,hai trăm,0935221588
Ngô Thị Bình,ngo.thi.binh.1266@duytanplasti.vn,Duy Tan Plastics,Marketing Manager,healthcare,250,0910923844
Dương Xuân Bình,duong.xuan.binh.1267@fptsoftware.vn,FPT Software,Marketing Manager,software,250,0901333873
Bùi Đức Tuấn,bui.duc.tuan.1268@tiki.vn,Tiki,CTO,education,25,0703793088
Đỗ Quang Hà,do.quang.ha.1269@gmail.com,PNJ,CFO,logistics,1500,0915371983
Lý Hữu Mai,ly.huu.mai.1270@pnj.vn,PNJ,Head of Finance,manufacturing,500,0323015516
Ngô Đức Hà,ngo.duc.ha.1271@thecoffeehou.vn,The Coffee House,Marketing Manager,manufacturing,250,0960763340
Phạm Minh Oanh,pham.minh.oanh.1272@cenland.vn,CenLand,Sales Director,fintech,120,0323025104
Hồ Hồng Khánh,ho.hong.khanh.1273@duytanplasti.vn,Duy Tan Plastics,Marketing Manager,manufacturing,500,0709363792
Lê Xuân Tuấn,le.xuan.tuan.1274@gmail.com,Thaco Industries,CTO,healthcare,250,0971985855
Hồ Hồng Oanh,ho.hong.oanh.1275@gmail.com,FPT Software,Sales Director,ecommerce,250,0325022382
Hoàng Hữu Tuấn,hoang.huu.tuan.1276@fptsoftware.vn,FPT Software,CFO,education,120,0930017349
Vũ Đức Tâm,vu.duc.tam.1277@gmail.com,PNJ,Sales Director,logistics,50,0919641773
Lý Đức Mai,ly.duc.mai.1278@gmail.com,KiotViet,Product Manager,manufacturing,120,0930543279
Ngô Hữu Dũng,ngo.huu.dung.1279@thecoffeehou.vn,The Coffee House,Marketing Manager,manufacturing,50,0862207046
Lê Đức Quân,khong-phai-email,Shopee Vietnam,CTO,logistics,50,0932254967
Võ Minh Hà,,Haravan,CEO,logistics,120,0970659880
Đỗ Văn Phúc,do.van.phuc.1282@gmail.com,Thaco Industries,Head of Finance,logistics,1500,123
,nguyen.quang.tuan.1283@gmail.com,KiotViet,Operations Manager,retail,120,0354898074
"=HYPERLINK(""https://evil.example"",""Click"")",vu.ngoc.viet.1284@tiki.vn,Tiki,CEO,retail,10,0864165965
Phan Quang Châu,phan.quang.chau.1285@momo.vn,MoMo,CTO,healthcare,hai trăm,0861511137
Ngô Minh Bình,ngo.minh.binh.1286@duytanplasti.vn,Duy Tan Plastics,CFO,manufacturing,120,0325159152
Phan Thanh Sơn,phan.thanh.son.1287@pnj.vn,PNJ,Product Manager,healthcare,500,0965598690
Vũ Đức Nam,vu.duc.nam.1288@gmail.com,PNJ,CFO,retail,120,0966711897
Phan Quang Châu,phan.quang.chau.1289@gemadeptlogi.vn,Gemadept Logistics,Sales Director,healthcare,500,0930605159
Võ Quang Sơn,vo.quang.son.1290@haravan.vn,Haravan,Product Manager,fintech,500,0909050799
Ngô Thanh Hùng,ngo.thanh.hung.1291@tiki.vn,Tiki,Head of Finance,manufacturing,10,0914393765
Võ Ngọc Hà,vo.ngoc.ha.1292@vinmec.vn,Vinmec,Procurement Manager,healthcare,250,0707281307
Dương Thị Hùng,duong.thi.hung.1293@gmail.com,Gemadept Logistics,Head of Finance,ecommerce,10,0325833692
Hoàng Thị Tâm,hoang.thi.tam.1294@tiki.vn,Tiki,Kế toán trưởng,software,10,0979251933
Hồ Hồng Dũng,ho.hong.dung.1295@basevn.vn,Base.vn,CEO,retail,10,0962897639
Dương Đức Mai,duong.duc.mai.1296@gmail.com,Vinamilk,Operations Manager,education,25,0919808293
Đỗ Thị Hà,do.thi.ha.1297@cenland.vn,CenLand,Procurement Manager,education,120,0916762110
Trần Ngọc Bình,tran.ngoc.binh.1298@haravan.vn,Haravan,CFO,ecommerce,250,0902768677
Ngô Văn Tâm,ngo.van.tam.1299@gmail.com,Vinmec,Kế toán trưởng,logistics,500,0977806147
